date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index
04-01-2023,153.3708333,105.5208333,2423.708333,72.28333333,57.67083333,61.91666667,0.525,7.083333333,0.575
05-01-2023,221.6541667,152.9,3656.125,100.7416667,75.15416667,49.83333333,0.56375,8.583333333,0.516666667
06-01-2023,225.325,156.3583333,3477.083333,108.1083333,84.85,50.04166667,0.552083333,5.041666667,0.510416667
07-01-2023,200.9875,139.275,2773.625,94.89166667,63.73333333,40.41666667,0.452083333,5.541666667,0.695833333
08-01-2023,228.725,157.2125,3241.666667,83.33333333,58.02916667,66.70833333,0.570416667,11.29166667,0.629166667
09-01-2023,310.45,214.0541667,5473.333333,148.1708333,96.57083333,42.54166667,0.49375,12.29166667,0.627083333
10-01-2023,193.0541667,132.9125,3088.583333,94.55416667,56.85416667,45.875,0.3625,8.291666667,0.75625
11-01-2023,203.1458333,139.7416667,2584.583333,94.49166667,66.24166667,67.95833333,0.694166667,9.291666667,0.620833333
12-01-2023,145.9958333,97.67083333,1736.041667,70.8875,47.7375,58.5,1.045416667,16.16666667,0.5375
13-01-2023,152.3208333,103.2041667,1986.958333,69.07083333,57.42916667,40.75,0.913333333,12.29166667,0.447916667
14-01-2023,149.7125,98.48333333,2010.625,59.9875,44.31666667,46.29166667,0.707083333,24.16666667,0.604166667
15-01-2023,91.25416667,57.54583333,1388.083333,43.7625,32.35,60.375,0.270833333,24.375,0.85
16-01-2023,106.0791667,70.44583333,1553.375,55.69583333,39.61666667,54.70833333,0.35125,14.29166667,0.76875
17-01-2023,101.4208333,66.74166667,1562.708333,55.92083333,38.825,64.83333333,0.295416667,15.66666667,0.80625
18-01-2023,136.4708333,92.92083333,2172.416667,76.21666667,53.4375,58.70833333,0.325416667,9.5,0.789583333
19-01-2023,165.0708333,113.9041667,2315.208333,83.2,66.275,68,0.68125,5.791666667,0.69375
20-01-2023,95.025,64.49583333,1238.583333,53,40.04166667,51.04166667,0.585833333,8.166666667,0.533333333
21-01-2023,164.1375,113.1833333,2720.375,99.0375,74.40416667,30.5,0.674166667,7.291666667,0.660416667
